t, r
0.964,-52.2
0.965,-49.9
0.966,-48.9
0.967,-46.7
0.968,-48
0.969,-45.1
0.97,-41
0.971,-41.5
0.972,-38.1
0.973,-29.7
0.974,-31
0.975,-40.5
0.976,-41.5
0.977,-36.2
0.978,-36.4
0.979,-39.8
0.98,-41.8
0.981,-41.8
0.982,-42.8
0.983,-46.1
0.984,-47.9
0.985,-46.9
0.986,-39.7
0.987,-27.8
0.988,-27.5
0.989,-42.7
0.99,-49.6
0.991,-40.8
0.992,-34.5
0.993,-48
0.994,-60.8
0.995,-53.7
0.996,-44.5
0.997,-46.5
0.998,-52.3
0.999,-51.4
